bh_name,ra_bh,dec_bh,star_id,ra_star,dec_star,rp_mag_star,sep_arcsec
Swift J1727.8-1613,261.93045833333326,-16.205341666666666,4136619724506085376,261.93848551686875,-16.20549631151497,13.528909683227539,27.755254692450784
MAXI J1820+070 ASASSN-18ey = V3721 Oph,275.0914166666666,7.185330555555556,4477904044937291520,275.0913285774693,7.1902069738404775,13.024236679077148,17.55792491899001
MAXI J1305-704,196.73041666666666,-70.45141944444445,5843823766724787328,196.73598222556728,-70.45539613483253,15.196788787841797,15.807827199166173
XTE J1650-500,252.50408333333328,-49.96211111111111,5937599154973474944,252.51185442187307,-49.9639710101828,13.972783088684082,19.2016080504217
XTE J1118+480 KV UMa,169.5449583333333,48.03678333333333,789430244729303040,169.5500420963303,48.0384526563321,18.013132095336914,13.633185403184266
XTE J1859+226 V406 Vul,284.67324999999994,22.658166666666666,4532919724143523072,284.6736954526046,22.653553723744768,15.616519927978516,16.672403792197432
SAX J1819.3-2525 V4641 Sgr,274.8399166666666,-25.406972222222223,4053096384526868736,274.8441550201879,-25.402422023855706,11.320789337158203,21.407671115738896
XTE J1550-564 V381 Nor,237.74458333333334,-56.476444444444446,5884099221285561600,237.7434874117083,-56.471514462883185,13.122036933898926,17.881203780049038
GRO J1655-40 N Sco 1994 = V1033 Sco,253.50058333333325,-39.84580555555556,5969791034352215168,253.49186155088532,-39.845346233181694,13.477113723754883,24.163536002310984
GRS 1009-45 N Vel 1993 = MM Vel,153.40141666666665,-45.07541666666667,5414249865133019392,153.39494009988923,-45.071733198236494,15.6134672164917,21.14123834075435
GRS 1915+105 V1487 Aql,288.79812499999997,10.945777777777778,4309763011661228800,288.79456280268096,10.951968538972633,16.567716598510742,25.59724432530913
GRO J0422+32 V518 Per,65.42829166666665,32.90752777777777,172650748928647808,65.42737103272562,32.91374640307961,15.593207359313965,22.559295760552697
GRS 1124-684 N Mus 1991 = GU Mus,171.61104166666664,-68.67578611111112,5234956524094035840,171.60258087557733,-68.67682716728241,13.948652267456055,11.692846163780088
GS 2023+338 V404 Cyg,306.0159166666666,33.86719444444444,2056188659232309504,306.01014907149164,33.86909047793682,15.273788452148438,18.54230936854805
GS 2000+251 QZ Vul,300.70616666666666,25.23648888888889,1834737637196633984,300.71289746380074,25.241443109339627,15.33523941040039,28.257402680676208
GS 1354-64 BW Cir,209.54041666666663,-64.73494444444445,5852295847461933440,209.55474131377218,-64.73015492153844,13.51561450958252,27.960976090822317
H 1705-250 N Oph 1977 = V2107 Oph,257.06049999999993,-25.091708333333333,4112450294290525696,257.0587630047905,-25.084941316579588,12.9525785446167,25.01086079188727
3A 0620-003 N Mon 1975 = V616 Mon,95.68541666666664,-0.34575555555555554,3118721099618250112,95.68059293177599,-0.3406250220978681,14.048023223876953,25.351249495081696
1H 1659-487 GX 339-4 = V821 Ara,255.70583333333332,-48.789833333333334,5938658049055243136,255.70717216515268,-48.793423616577336,12.080129623413086,13.309339094427074
4U 1543-475 IL Lup,236.78466666666662,-47.669666666666664,5986117923045616128,236.78685278579354,-47.670785522117264,11.362226486206055,6.6565850120836725
