name,bh_ra,bh_dec,star_ra,star_dec,sep_arcsec,ks_1_mag,ks_1_mag_err,ks_2_mag,ks_2_mag_err,best_mag_for_ranking
Swift J1727.8-1613,17:27:43.31,-16:12:19.23,,,,,,,,
MAXI J1820+070 ASASSN-18ey = V3721 Oph,18:20:21.94,+07:11:07.19,,,,,,,,
MAXI J1305-704,13:06:55.30,-70:27:05.11,,,,,,,,
XTE J1650-500,16:50:00.98,-49:57:43.60,,,,,,,,
XTE J1118+480 KV UMa,11:18:10.79,+48:02:12.42,,,,,,,,
XTE J1859+226 V406 Vul,18:58:41.58,+22:39:29.40,,,,,,,,
SAX J1819.3-2525 V4641 Sgr,18:19:21.58,-25:24:25.10,18:19:22.60,-25:24:08.64,21.485139121868546,10.432143,0.0009957836,9.978119,0.0008346518,10.205131
SAX J1819.3-2525 V4641 Sgr,18:19:21.58,-25:24:25.10,18:19:22.60,-25:24:08.64,21.485139121868546,10.432143,0.0009957836,9.978119,0.0008346518,10.205131
XTE J1550-564 V381 Nor,15:50:58.70,-56:28:35.20,15:51:01.17,-56:28:15.19,28.643948425868683,11.469469,0.0012084941,12.020756,0.0017106415,11.745112500000001
XTE J1550-564 V381 Nor,15:50:58.70,-56:28:35.20,15:51:01.17,-56:28:15.19,28.643948425868683,11.469469,0.0012084941,12.020756,0.0017106415,11.745112500000001
GRO J1655-40 N Sco 1994 = V1033 Sco,16:54:00.14,-39:50:44.90,,,,,,,,
GRS 1009-45 N Vel 1993 = MM Vel,10:13:36.34,-45:04:31.50,,,,,,,,
GRS 1915+105 V1487 Aql,19:15:11.55,+10:56:44.80,,,,,,,,
GRO J0422+32 V518 Per,04:21:42.79,+32:54:27.10,,,,,,,,
GRS 1124-684 N Mus 1991 = GU Mus,11:26:26.65,-68:40:32.83,,,,,,,,
GS 2023+338 V404 Cyg,20:24:03.82,+33:52:01.90,,,,,,,,
GS 2000+251 QZ Vul,20:02:49.48,+25:14:11.36,,,,,,,,
GS 1354-64 BW Cir,13:58:09.70,-64:44:05.80,,,,,,,,
H 1705-250 N Oph 1977 = V2107 Oph,17:08:14.52,-25:05:30.15,,,,,,,,
3A 0620-003 N Mon 1975 = V616 Mon,06:22:44.50,-00:20:44.72,,,,,,,,
1H 1659-487 GX 339-4 = V821 Ara,17:02:49.40,-48:47:23.40,,,,,,,,
4U 1543-475 IL Lup,15:47:08.32,-47:40:10.80,,,,,,,,
